Elements,Mean Build Time,Mean Query Time
1,19,21
2,19,34
3,19,36
4,19,36
5,19,37
6,19,38
7,19,41
8,19,41
9,19,43
10,19,43
11,19,44
12,19,45
13,19,47
14,19,47
15,19,48
16,19,48
17,19,49
18,19,50
19,19,51
20,19,51
21,19,51
22,19,52
23,19,52
24,19,53
25,19,53
1000,29,82
2000,29,93
3000,30,98
4000,30,105
5000,28,110
100000,38,104
200000,111,165
300000,133,210
400000,87,229
500000,80,248
All tests completed!
