Elements,Mean Build Time,Mean Query Time
1,95,19
2,352,37
3,418,39
4,435,41
5,499,43
6,535,44
7,584,45
8,674,45
9,738,45
10,757,45
11,788,45
12,804,46
13,857,46
14,909,46
15,937,46
16,949,46
17,1121,45
18,1068,45
19,1208,45
20,1171,45
21,1178,45
22,1183,45
23,1234,45
24,1245,45
25,1329,46
1000,33586,49
2000,65085,54
3000,96928,56
4000,127531,60
5000,151341,60
100000,3129357,97
200000,6209295,156
300000,9232065,197
400000,12251713,221
500000,15176021,230
All tests completed!
