Elements,Mean Build Time,Mean Query Time
1,87,19
2,130,32
3,222,32
4,229,32
5,239,33
6,248,34
7,250,35
8,261,36
9,269,38
10,286,38
11,295,39
12,259,40
13,288,41
14,349,42
15,344,42
16,345,42
17,352,43
18,362,44
19,326,45
20,333,45
21,336,46
22,346,46
23,357,47
24,365,47
25,379,48
1000,9013,82
2000,16400,90
3000,23458,95
4000,30439,101
5000,37608,105
100000,698950,286
200000,1381311,386
300000,2065055,472
400000,2745366,551
500000,3427057,629
All tests completed!
