Elements,Mean Build Time,Mean Query Time
1,31,20
2,38,20
3,42,19
4,45,19
5,49,19
6,60,19
7,72,19
8,78,19
9,92,19
10,88,19
11,97,19
12,108,19
13,119,19
14,130,19
15,142,19
16,201,19
17,214,19
18,230,19
19,246,19
20,263,19
21,281,19
22,300,19
23,320,19
24,341,19
25,365,19
1000,450431,29
2000,1810833,61
3000,5903079,79
4000,10141745,85
5000,15878208,89
100000
